admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
NGAOUNDAL,NGAOUNDAL,AD0101,DJEREM,DJEREM,AD01,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
TIBATI,TIBATI,AD0102,DJEREM,DJEREM,AD01,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
GALIM TIGNERE,GALIM TIGNERE,AD0201,FARO ET DEO,FARO ET DEO,AD02,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
KONTCHA,KONTCHA,AD0202,FARO ET DEO,FARO ET DEO,AD02,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
MAYO-BALEO,MAYO-BALEO,AD0203,FARO ET DEO,FARO ET DEO,AD02,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
TIGNERE,TIGNERE,AD0204,FARO ET DEO,FARO ET DEO,AD02,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
BANKIM,BANKIM,AD0301,MAYO BANYO,MAYO BANYO,AD03,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
BANYO,BANYO,AD0302,MAYO BANYO,MAYO BANYO,AD03,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
MAYO-DARLE,MAYO-DARLE,AD0303,MAYO BANYO,MAYO BANYO,AD03,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
DIR,DIR,AD0401,MBERE,MBERE,AD04,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
NGAOUI,NGAOUI,AD0403,MBERE,MBERE,AD04,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
MEIGANGA,MEIGANGA,AD0404,MBERE,MBERE,AD04,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
BELEL,BELEL,AD0501,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
MARTAP,MARTAP,AD0502,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
MBE,MBE,AD0503,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
NGANHA,NGANHA,AD0504,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
NGAOUNDERE I,NGAOUNDERE I,AD0505,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
NGAOUNDERE II,NGAOUNDERE II,AD0506,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
NGAOUNDERE III,NGAOUNDERE III,AD0507,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
NYAMBAKA,NYAMBAKA,AD0508,VINA,VINA,AD05,ADAMAOUA,ADAMAOUA,AD,Cameroon,Cameroon,CMR
BIBEY,BIBEY,CE0101,HAUTE SANAGA,HAUTE SANAGA,CE01,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
LEMBE YEZOUM,LEMBE YEZOUM,CE0102,HAUTE SANAGA,HAUTE SANAGA,CE01,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MBANDJOCK,MBANDJOCK,CE0103,HAUTE SANAGA,HAUTE SANAGA,CE01,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MINTA,MINTA,CE0104,HAUTE SANAGA,HAUTE SANAGA,CE01,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NSEM,NSEM,CE0105,HAUTE SANAGA,HAUTE SANAGA,CE01,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
BATSCHENGA,BATSCHENGA,CE0201,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
EBEBDA,EBEBDA,CE0202,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
ELIG-MFOMO,ELIG-MFOMO,CE0203,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
EVODOULA,EVODOULA,CE0204,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
LOBO,LOBO,CE0205,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MONATELE,MONATELE,CE0206,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
OBALA,OBALA,CE0207,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
OKOLA,OKOLA,CE0208,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
SA'A,SA'A,CE0209,LEKIE,LEKIE,CE02,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
BAFIA,BAFIA,CE0301,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
BOKITO,BOKITO,CE0302,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
DEUK,DEUK,CE0303,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
DEUK,DEUK,CE0304,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
KON-YAMBETTA,KON-YAMBETTA,CE0305,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MAKENENE,MAKENENE,CE0306,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NDIKINIMEKI,NDIKINIMEKI,CE0307,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
